#cores	LS time	Mg time	Cl time	F time	OH time	SUM
60	8.228018333	61.49255	56.99113333	5.136751667	62.16333333	194.0117867
120	4.283845	32.57456667	30.41818333	2.515246667	33.8143	103.6061417
240	2.370031667	17.9125	16.65056667	1.338773333	19.85451667	58.12638833
360	1.593126667	12.10566667	11.41661667	0.922443167	13.79205	39.82990317
480	1.225538333	9.197781667	8.661913333	0.6696395	10.99081667	30.7456895
600	1.14601	7.933735	7.424076667	0.527350333	9.657423333	26.68859533
690	1.077141667	8.21795	7.667731667	0.549945	9.608106667	27.120875
900	0.719680833	5.43953	5.115821667	0.361638	7.088948333	18.72561883
1350	0.658255167	4.807413333	4.253951667	0.594425333	6.185756667	16.49980217
2100	0.432380833	3.262136667	3.068101667	0.217136667	4.72459	11.70434583
2700	0.3102105	2.236728333	2.09851	0.148059333	3.793048333	8.5865565
3510	0.266300833	1.836871667	1.747808333	0.124035	3.494683333	7.469699167
4500	0.2287905	1.644655	1.540833333	0.116741667	3.203953333	6.734973833
5400	0.2261085	1.530178333	1.52378	0.1167873	3.637406667	7.0342608
6150	0.189886333	1.293788333	1.289623333	0.099857183	3.220248333	6.093403517
6990	0.2120585	1.410978333	1.35488	0.105926583	3.385653333	6.46949675
