time (hour)	high_diff	low_diff
0	0	0
1	4.83753	0.0566428
2	10.1981	1.07224
3	15.1608	1.98361
4	19.8429	2.8176
5	24.3384	3.59457
6	28.6593	4.32527
7	32.7698	5.00537
8	36.6542	5.65736
9	40.2865	6.26811
10	43.6405	6.84413
11	46.7314	7.39626
12	49.537	7.91533
13	52.1049	8.41464
14	54.437	8.89482
15	56.5568	9.35445
16	58.4803	9.79927
17	60.2318	10.2274
18	61.8176	10.6459
19	63.2622	11.0542
20	64.5832	11.4519
21	65.7867	11.8422
22	66.8841	12.2329
23	67.889	12.6133
24	68.8126	12.9927
25	69.6593	13.3691
26	70.4375	13.7393
27	71.1537	14.1097
28	71.8147	14.4739
29	72.4261	14.8388
30	72.9974	15.2001
31	73.5312	15.56
32	74.0234	15.922
33	74.4797	16.2803
34	74.9114	16.6313
35	75.3175	16.9827
36	75.6968	17.3285
37	76.0621	17.6802
38	76.4029	18.0275
39	76.7223	18.3714
40	77.0293	18.7142
41	77.3232	19.0586
42	77.6053	19.4021
43	77.8738	19.7407
44	78.1325	20.0808
45	78.3827	20.4193
46	78.6217	20.7564
47	78.8545	21.0893
48	79.0794	21.4209
