#cores,Efficiency,#cores,Efficiency,#cores,Efficiency,Dump
180,1,135,1,60,1,0
270,0.943091826,225,0.934545481,120,0.936294816,0
360,0.839851141,360,0.842055834,240,0.834439367,0
450,0.827555692,450,0.842618827,360,0.811834707,0
540,0.788978348,675,0.776679411,480,0.788776369,0
900,0.720791051,900,0.708746747,600,0.726946414,0
1800,0.514646804,1350,0.651276434,900,0.690717846,0
2700,0.440129289,1800,0.597045886,1350,0.522596937,0
3600,0.382334126,2250,0.492607741,2100,0.473601343,0
4500,0.323527996,2700,0.44322417,2700,0.502107339,0
5400,0.276301043,3600,0.406467402,3510,0.443985859,0
6300,0.249210187,4500,0.296055835,4500,0.384088177,0
7200,0.21869351,5400,0.3349156,5400,0.306455302,0
8100,0.210142573,7200,0.266812601,6150,0.310630654,0
9000,0.185397057,7200,0.266812601,6990,0.25741372,0
