#cores	LS time	Mg time	Cl time	F time	OH time	SUM
180	1.1223	8.3638	7.84477	1.04719	9.30254	27.6806
270	0.79639	5.9852	5.65856	0.442061	6.68506	19.567271
360	0.693051	4.86409	4.5402	0.661937	5.72019	16.479468
450	0.56043	3.98558	3.6402	0.49616	4.69708	13.37945
540	0.46529	3.38857	3.20348	0.383252	4.25411	11.694702
900	0.290417	2.21824	2.04666	0.14588	2.97942	7.680617
1800	0.17998	1.31069	1.28808	0.0912925	2.50852	5.3785625
2700	0.139282	0.982617	0.977136	0.0701733	2.02359	4.1927983
3600	0.111692	0.802076	0.744013	0.0596379	1.90253	3.6199489
4500	0.105826	0.749735	0.689368	0.0566647	1.82075	3.4223437
5400	0.0984676	0.728342	0.646943	0.0528226	1.81285	3.3394252
6300	0.0940033	0.595501	0.562228	0.0532608	1.86853	3.1735231
7200	0.0932883	0.594487	0.538528	0.050281	1.88773	3.1643143
8100	0.0851473	0.535114	0.511554	0.0475514	1.74781	2.9271767
9000	0.0834839	0.53248	0.488562	0.0458125	1.83575	2.9860884
