170 days,,124 days,,77 days,,28 days,,0 days,
0,0,0,0,0,0,0,0,0,0
1.00009E-06,5.685379028,9.99999E-07,6.342526436,1E-06,7.020516396,1.00001E-06,7.410742283,1E-06,7.96899128
2.00004E-06,11.53611851,2.00001E-06,12.7807827,1.99992E-06,13.69473553,1.99982E-06,14.88341618,1.99982E-06,15.9623661
2.99965E-06,17.20437241,2.99902E-06,19.13508987,2.99903E-06,20.57435417,2.99883E-06,22.50421143,2.99893E-06,23.92735672
3.99986E-06,23.21519279,3.99927E-06,25.39644623,3.99913E-06,27.73354721,3.99964E-06,29.86338806,3.99936E-06,32.05673218
4.99973E-06,29.02650452,4.99904E-06,31.99611092,4.9989E-06,34.8187027,4.9994E-06,37.37131882,4.99912E-06,39.96453094
5.99949E-06,34.71709824,5.99881E-06,38.25085831,5.99866E-06,41.70542526,5.99927E-06,45.0125885,5.99889E-06,47.81085205
6.99971E-06,40.78532028,6.99885E-06,44.68556976,6.99854E-06,48.62062836,6.99918E-06,52.2974472,6.99883E-06,56.04317474
7.998E-06,46.44057083,8.001E-06,51.18764877,8.00059E-06,55.51809692,8.00123E-06,60.01807404,8.00098E-06,63.88762665
8.99558E-06,52.26403427,8.9992E-06,57.40179825,9.00131E-06,62.32503891,9.00327E-06,67.39057159,9.00302E-06,71.8907547
9.99307E-06,58.14425659,9.99669E-06,64.05047607,9.9988E-06,69.18767548,1.00054E-05,74.82520294,1.00029E-05,80.01928711
1.09906E-05,63.8363533,1.09942E-05,70.24801636,1.09963E-05,76.16991425,1.10029E-05,82.46875,1.10004E-05,87.71366882
1.19881E-05,69.74629974,1.19918E-05,76.59931183,1.19938E-05,83.20585632,1.20003E-05,89.72236633,1.1998E-05,95.94573212
1.29856E-05,75.3879776,1.29893E-05,83.03878784,1.29914E-05,90.1177597,1.29978E-05,97.24261475,1.29955E-05,103.8351059
1.39826E-05,80.95384216,1.39878E-05,89.32619476,1.39892E-05,96.76554108,1.39959E-05,104.7079697,1.39936E-05,111.7483978
1.49756E-05,86.6318512,1.49898E-05,95.45384979,1.49913E-05,103.6236496,1.4998E-05,111.8218918,1.49956E-05,119.3922043
1.59685E-05,92.2199173,1.59864E-05,101.634079,1.59933E-05,110.2264023,1.6E-05,118.9415131,1.59978E-05,127.065239
1.69615E-05,97.78543854,1.69793E-05,107.7377548,1.69936E-05,116.8380432,1.70021E-05,126.1865921,1.69998E-05,134.715332
1.79545E-05,103.2464066,1.79723E-05,113.7486801,1.79865E-05,123.440567,1.80042E-05,133.3333435,1.80019E-05,142.3390961
1.89474E-05,108.699501,1.89652E-05,119.8205566,1.89795E-05,129.9510345,1.90047E-05,140.345993,1.89967E-05,149.8383026
1.99403E-05,114.0924072,1.99583E-05,125.7302094,1.99724E-05,136.3529205,1.99976E-05,147.5162659,1.99897E-05,157.2853394
2.09334E-05,119.3551025,2.09512E-05,131.6885986,2.09654E-05,142.7657318,2.09906E-05,154.3784332,2.09827E-05,164.7551422
2.19263E-05,124.593399,2.19441E-05,137.4749756,2.19584E-05,149.069809,2.19836E-05,161.1790924,2.19756E-05,172.0653687
2.29192E-05,129.8402405,2.29371E-05,143.1918793,2.29513E-05,155.2797852,2.29765E-05,167.957901,2.29685E-05,179.2268524
2.39122E-05,134.9679565,2.39301E-05,148.8648071,2.39443E-05,161.3462524,2.39695E-05,174.6677246,2.39616E-05,186.3423767
2.49129E-05,140.0463257,2.4923E-05,154.3781586,2.49373E-05,167.3766937,2.49624E-05,181.144989,2.49545E-05,193.3547211
2.59209E-05,145.0966339,2.5931E-05,159.9619904,2.59453E-05,173.4492645,2.59704E-05,187.8083344,2.59625E-05,200.348114
2.6929E-05,150.0791321,2.6939E-05,165.5220947,2.69533E-05,179.4409943,2.69784E-05,194.3270111,2.69705E-05,207.2649231
2.79309E-05,155.0121155,2.79434E-05,170.9329376,2.79601E-05,185.3863373,2.79882E-05,200.7955322,2.79808E-05,214.1869202
2.89296E-05,159.953125,2.89422E-05,176.3257141,2.89588E-05,191.3196106,2.90055E-05,207.1020355,2.89981E-05,220.9273987
